Airline,Source,Destination,Total_Stops,Price,Day,Month,Year,Dep_Hours,Dep_Minutes,Arrival_Hours,Arrival_Minutes,hoursMinutes
Multiple carriers,Delhi,Cochin,1 stop,10791,24,6,2019,11,40,19,0,440
Jet Airways,Delhi,Cochin,2 stops,12819,24,6,2019,23,5,12,35,810
IndiGo,Delhi,Cochin,1 stop,6893,21,3,2019,5,5,10,5,300
Vistara,Banglore,Delhi,non-stop,7240,9,3,2019,9,50,12,35,165
GoAir,Banglore,Delhi,non-stop,3898,3,4,2019,11,40,14,30,170
IndiGo,Mumbai,Hyderabad,non-stop,4049,3,4,2019,6,25,7,55,90
Jet Airways,Delhi,Cochin,1 stop,10262,15,6,2019,17,30,12,35,1145
SpiceJet,Chennai,Kolkata,non-stop,3332,21,3,2019,8,20,10,35,135
Jet Airways,Kolkata,Banglore,1 stop,10844,9,6,2019,21,10,12,0,890
Jet Airways,Banglore,Delhi,non-stop,7229,24,3,2019,19,55,22,35,160
Jet Airways,Kolkata,Banglore,1 stop,13941,6,5,2019,6,30,4,40,1330
IndiGo,Delhi,Cochin,1 stop,5894,27,6,2019,11,25,21,0,575
Multiple carriers,Delhi,Cochin,1 stop,10197,18,5,2019,9,0,19,0,600
Jet Airways,Banglore,Delhi,1 stop,13712,6,3,2019,14,5,11,25,1280
IndiGo,Delhi,Cochin,1 stop,5636,24,6,2019,2,0,7,25,325
Jet Airways,Delhi,Cochin,2 stops,13014,6,6,2019,9,40,4,25,1125
Jet Airways,Kolkata,Banglore,1 stop,7064,1,4,2019,8,25,20,45,740
Jet Airways,Kolkata,Banglore,1 stop,10703,24,5,2019,20,25,14,25,1080
Multiple carriers,Delhi,Cochin,1 stop,9646,27,5,2019,13,15,22,30,555
Multiple carriers,Delhi,Cochin,1 stop,17057,6,3,2019,2,15,13,20,665
Jet Airways,Banglore,Delhi,1 stop,13817,12,3,2019,16,55,10,25,1050
Air India,Delhi,Cochin,2 stops,13748,6,3,2019,5,55,19,15,800
Air India,Kolkata,Banglore,non-stop,4880,21,4,2019,20,45,23,20,155
IndiGo,Chennai,Kolkata,non-stop,3540,21,6,2019,5,15,7,40,145
SpiceJet,Banglore,Delhi,non-stop,3257,15,5,2019,5,55,8,35,160
Jet Airways,Banglore,Delhi,non-stop,6478,3,6,2019,19,50,22,50,180
Jet Airways,Mumbai,Hyderabad,non-stop,8040,18,6,2019,7,5,8,30,85
Jet Airways,Delhi,Cochin,2 stops,14300,12,6,2019,20,0,12,35,995
Jet Airways,Kolkata,Banglore,1 stop,14781,15,5,2019,8,25,20,45,740
Jet Airways,Kolkata,Banglore,1 stop,14939,9,6,2019,20,0,8,15,735
Jet Airways,Delhi,Cochin,1 stop,10262,24,6,2019,20,55,4,25,450
Air India,Kolkata,Banglore,1 stop,6528,12,5,2019,14,35,14,35,1440
Air India,Banglore,Delhi,non-stop,6121,1,5,2019,6,10,8,55,165
Jet Airways,Delhi,Cochin,2 stops,13029,18,5,2019,19,30,4,25,535
Multiple carriers,Delhi,Cochin,1 stop,11421,27,3,2019,11,40,18,50,430
Multiple carriers,Delhi,Cochin,1 stop,7574,27,3,2019,4,45,19,15,870
Air India,Delhi,Cochin,2 stops,11596,9,5,2019,12,55,19,15,1820
Jet Airways,Delhi,Cochin,2 stops,15129,24,5,2019,23,5,19,0,1195
Jet Airways,Banglore,Delhi,1 stop,13555,18,3,2019,14,5,5,5,900
IndiGo,Banglore,Delhi,non-stop,5780,12,4,2019,18,55,21,50,175
Vistara,Kolkata,Banglore,1 stop,9397,12,5,2019,20,20,9,5,765
Jet Airways,Delhi,Cochin,1 stop,17024,6,3,2019,18,15,4,25,610
GoAir,Delhi,Cochin,1 stop,5281,27,6,2019,7,0,12,55,355
Multiple carriers,Delhi,Cochin,1 stop,10348,18,5,2019,7,5,22,30,925
Air India,Delhi,Cochin,1 stop,12677,6,3,2019,17,20,9,25,965
Multiple carriers,Delhi,Cochin,1 stop,15147,3,3,2019,15,25,1,35,610
Vistara,Banglore,Delhi,non-stop,4668,12,6,2019,7,0,9,40,160
Jet Airways,Delhi,Cochin,1 stop,15554,9,5,2019,7,5,19,0,715
SpiceJet,Banglore,Delhi,non-stop,3971,9,4,2019,5,55,8,35,160
Air India,Mumbai,Hyderabad,non-stop,3100,3,5,2019,15,0,16,25,85
Jet Airways,Kolkata,Banglore,1 stop,9663,6,5,2019,20,0,10,5,845
IndiGo,Chennai,Kolkata,non-stop,3540,12,5,2019,5,15,7,40,145
Air India,Kolkata,Banglore,2 stops,10676,21,5,2019,12,0,11,10,1390
Jet Airways,Kolkata,Banglore,1 stop,13044,12,6,2019,14,5,8,15,1090
Jet Airways,Kolkata,Banglore,1 stop,14388,6,5,2019,20,0,12,0,960
IndiGo,Banglore,Delhi,non-stop,3943,24,6,2019,4,0,6,50,170
IndiGo,Chennai,Kolkata,non-stop,3597,3,6,2019,14,45,17,5,140
Air India,Banglore,Delhi,1 stop,5932,21,3,2019,11,50,19,50,480
Jet Airways,Delhi,Cochin,1 stop,10262,15,6,2019,11,30,4,25,1015
Vistara,Delhi,Cochin,non-stop,6216,12,5,2019,14,40,17,50,190
IndiGo,Kolkata,Banglore,non-stop,4804,15,6,2019,20,25,23,10,165
Multiple carriers,Delhi,Cochin,1 stop,14067,21,5,2019,11,30,1,30,840
Jet Airways,Delhi,Cochin,2 stops,15129,18,5,2019,19,10,19,0,1430
Jet Airways,Delhi,Cochin,2 stops,13376,6,6,2019,6,45,4,25,1300
Air India,Delhi,Cochin,2 stops,10441,27,6,2019,22,0,19,15,1275
Jet Airways,Banglore,Delhi,non-stop,4030,24,5,2019,6,0,8,45,165
Jet Airways,Delhi,Cochin,1 stop,17024,3,3,2019,8,0,18,50,650
Multiple carriers,Delhi,Cochin,1 stop,13017,9,4,2019,17,30,1,30,480
GoAir,Kolkata,Banglore,1 stop,6686,6,6,2019,23,30,7,45,495
IndiGo,Delhi,Cochin,1 stop,5636,15,6,2019,2,0,7,25,325
IndiGo,Delhi,Cochin,1 stop,6442,9,6,2019,7,35,16,10,515
Multiple carriers,Delhi,Cochin,1 stop,9486,21,5,2019,13,5,0,55,710
Jet Airways,Kolkata,Banglore,1 stop,10844,21,5,2019,20,0,23,35,1655
Jet Airways,Delhi,Cochin,2 stops,15318,3,6,2019,20,0,4,25,505
Air India,Delhi,Cochin,1 stop,5117,3,4,2019,12,30,9,25,1255
IndiGo,Delhi,Cochin,1 stop,6147,24,6,2019,15,10,20,0,290
Multiple carriers,Delhi,Cochin,1 stop,7005,9,6,2019,12,50,21,0,490
SpiceJet,Kolkata,Banglore,non-stop,3873,3,4,2019,22,20,0,40,140
Jet Airways,Delhi,Cochin,2 stops,9270,21,3,2019,18,25,18,50,1465
GoAir,Banglore,Delhi,non-stop,3898,27,6,2019,11,40,14,30,170
Jet Airways,Kolkata,Banglore,1 stop,14781,12,5,2019,8,25,20,45,740
Jet Airways,Kolkata,Banglore,1 stop,8586,24,5,2019,20,0,8,15,735
Air India,Kolkata,Banglore,2 stops,10697,9,5,2019,8,20,7,55,1415
Jet Airways,Delhi,Cochin,2 stops,14300,27,6,2019,20,0,12,35,995
IndiGo,Banglore,Delhi,non-stop,8855,3,3,2019,18,55,21,45,170
Jet Airways,Kolkata,Banglore,1 stop,10844,12,5,2019,16,30,18,15,1545
Jet Airways,Delhi,Cochin,1 stop,17024,6,3,2019,2,15,4,25,1570
Jet Airways,Kolkata,Banglore,1 stop,9314,1,5,2019,9,35,14,25,1730
IndiGo,Banglore,Delhi,non-stop,4777,24,3,2019,0,40,3,25,165
Air India,Kolkata,Banglore,1 stop,7662,9,6,2019,12,0,13,15,1515
IndiGo,Delhi,Cochin,1 stop,6442,9,5,2019,6,50,16,10,560
SpiceJet,Delhi,Cochin,1 stop,5264,12,6,2019,8,45,13,15,270
Jet Airways,Delhi,Cochin,1 stop,12898,27,5,2019,13,0,4,25,925
Air India,Mumbai,Hyderabad,non-stop,6092,3,3,2019,13,55,15,25,90
SpiceJet,Banglore,Delhi,non-stop,3311,21,5,2019,5,55,8,35,160
Jet Airways,Delhi,Cochin,1 stop,6540,27,3,2019,19,15,4,25,550
IndiGo,Banglore,Delhi,non-stop,3419,27,5,2019,1,30,4,15,165
Jet Airways,Delhi,Cochin,1 stop,5177,3,4,2019,14,0,12,35,1355
Air India,Delhi,Cochin,non-stop,8246,18,4,2019,18,5,21,10,185
Jet Airways,Kolkata,Banglore,1 stop,14676,9,6,2019,9,35,21,5,690
Multiple carriers,Delhi,Cochin,1 stop,13587,27,6,2019,11,30,21,0,570
Jet Airways,Kolkata,Banglore,1 stop,9663,6,5,2019,21,10,9,20,730
Jet Airways,Kolkata,Banglore,1 stop,13044,12,6,2019,16,30,10,5,1055
IndiGo,Delhi,Cochin,1 stop,5073,3,4,2019,20,25,1,30,305
Vistara,Kolkata,Banglore,1 stop,9345,21,5,2019,17,0,18,50,1550
Jet Airways,Kolkata,Banglore,1 stop,9663,6,5,2019,14,5,10,5,1200
Multiple carriers,Delhi,Cochin,1 stop,14277,21,5,2019,8,0,21,0,780
Jet Airways,Delhi,Cochin,1 stop,10262,1,6,2019,10,0,4,25,1105
Jet Airways,Mumbai,Hyderabad,non-stop,5678,27,3,2019,19,35,21,5,90
Multiple carriers,Delhi,Cochin,1 stop,13727,15,5,2019,16,0,1,30,570
Jet Airways,Kolkata,Banglore,1 stop,9663,6,5,2019,20,0,12,0,960
IndiGo,Chennai,Kolkata,non-stop,3858,12,5,2019,14,45,17,5,140
SpiceJet,Delhi,Cochin,1 stop,4812,24,6,2019,8,45,13,15,270
IndiGo,Delhi,Cochin,1 stop,5775,27,6,2019,21,50,3,35,345
Jet Airways,Kolkata,Banglore,1 stop,10539,6,6,2019,9,35,9,45,1450
IndiGo,Kolkata,Banglore,non-stop,4804,3,6,2019,15,30,18,5,155
Air Asia,Banglore,Delhi,non-stop,3383,12,6,2019,11,10,13,55,165
IndiGo,Banglore,Delhi,1 stop,8738,3,3,2019,12,10,17,5,295
Air India,Delhi,Cochin,1 stop,7165,27,3,2019,5,15,6,50,1535
IndiGo,Delhi,Cochin,1 stop,6412,24,6,2019,16,10,22,30,380
Jet Airways,Banglore,Delhi,non-stop,8016,27,6,2019,18,55,22,0,185
Jet Airways,Banglore,Delhi,1 stop,11087,12,3,2019,20,35,15,15,1120
SpiceJet,Chennai,Kolkata,non-stop,3543,27,6,2019,9,45,12,0,135
Jet Airways,Kolkata,Banglore,1 stop,12471,12,6,2019,16,30,4,40,730
Jet Airways,Delhi,Cochin,1 stop,10262,24,6,2019,9,0,4,25,1165
Air India,Banglore,Delhi,non-stop,4441,18,3,2019,13,20,16,10,170
Multiple carriers,Delhi,Cochin,1 stop,12537,27,3,2019,7,5,15,30,505
GoAir,Kolkata,Banglore,1 stop,10091,24,3,2019,22,25,7,40,555
Air India,Banglore,Delhi,non-stop,6961,3,6,2019,21,5,23,55,170
IndiGo,Delhi,Cochin,non-stop,5013,24,4,2019,5,35,8,50,195
Air India,Delhi,Cochin,non-stop,6934,18,5,2019,5,10,8,0,170
Multiple carriers,Delhi,Cochin,1 stop,10877,3,6,2019,6,40,19,0,740
Jet Airways,Banglore,Delhi,non-stop,7229,18,4,2019,15,15,18,10,175
IndiGo,Delhi,Cochin,1 stop,7048,27,3,2019,16,0,1,35,575
Vistara,Banglore,Delhi,non-stop,4878,27,6,2019,17,0,19,35,155
Jet Airways,Kolkata,Banglore,1 stop,10844,21,5,2019,14,5,23,35,570
Jet Airways,Delhi,Cochin,2 stops,15129,18,5,2019,23,5,4,25,1760
IndiGo,Banglore,Delhi,non-stop,3943,12,5,2019,0,30,3,25,175
SpiceJet,Delhi,Cochin,1 stop,5583,6,6,2019,6,5,11,20,315
Multiple carriers,Delhi,Cochin,1 stop,9646,6,6,2019,7,5,16,10,545
Multiple carriers,Delhi,Cochin,1 stop,7677,3,6,2019,8,30,19,15,645
IndiGo,Delhi,Cochin,1 stop,6842,1,6,2019,5,10,10,5,295
Jet Airways,Mumbai,Hyderabad,non-stop,4995,24,6,2019,8,45,10,15,90
Vistara,Kolkata,Banglore,1 stop,9555,9,6,2019,7,10,18,50,700
IndiGo,Banglore,Delhi,non-stop,4077,1,6,2019,1,30,4,15,165
Jet Airways,Banglore,Delhi,non-stop,7229,12,5,2019,15,15,18,10,175
Multiple carriers,Delhi,Cochin,1 stop,12192,9,6,2019,9,0,19,0,600
Air India,Banglore,Delhi,non-stop,5911,12,4,2019,10,0,12,45,165
Air India,Delhi,Cochin,1 stop,8372,12,6,2019,9,0,19,15,615
Jet Airways,Mumbai,Hyderabad,non-stop,4995,18,3,2019,7,10,8,35,85
Multiple carriers,Delhi,Cochin,1 stop,14323,9,5,2019,10,0,19,15,555
Jet Airways,Delhi,Cochin,2 stops,13014,9,6,2019,5,30,4,25,1375
Air India,Delhi,Cochin,2 stops,13591,6,6,2019,14,25,19,15,1730
Jet Airways,Delhi,Cochin,2 stops,18799,3,3,2019,5,25,18,50,2245
IndiGo,Banglore,Delhi,non-stop,3943,27,4,2019,23,30,2,20,170
SpiceJet,Mumbai,Hyderabad,non-stop,1965,21,5,2019,5,45,7,15,90
Jet Airways,Mumbai,Hyderabad,non-stop,4995,27,5,2019,10,20,11,50,90
Air India,Kolkata,Banglore,1 stop,14641,24,3,2019,16,50,18,30,1540
Air India,Kolkata,Banglore,non-stop,4460,12,4,2019,20,45,23,20,155
Air India,Delhi,Cochin,1 stop,10191,18,5,2019,13,0,19,15,375
Jet Airways,Delhi,Cochin,1 stop,13843,9,3,2019,2,15,19,45,1050
IndiGo,Delhi,Cochin,1 stop,6349,1,5,2019,21,50,3,35,345
Air Asia,Kolkata,Banglore,non-stop,4409,1,5,2019,10,20,12,55,155
Jet Airways,Delhi,Cochin,1 stop,17024,6,3,2019,18,15,19,45,1530
Multiple carriers,Delhi,Cochin,1 stop,13727,18,5,2019,7,5,21,0,835
IndiGo,Banglore,Delhi,non-stop,8855,15,3,2019,18,25,21,20,175
Multiple carriers,Delhi,Cochin,1 stop,12524,24,6,2019,8,45,19,0,615
Jet Airways,Banglore,Delhi,1 stop,13555,18,3,2019,11,40,20,20,520
Jet Airways,Kolkata,Banglore,1 stop,10844,6,6,2019,6,30,12,0,330
Multiple carriers,Delhi,Cochin,1 stop,13587,9,6,2019,9,0,21,0,720
SpiceJet,Chennai,Kolkata,non-stop,3543,12,6,2019,9,45,12,0,135
Vistara,Chennai,Kolkata,non-stop,4842,18,3,2019,7,5,9,20,135
IndiGo,Banglore,Delhi,non-stop,3943,24,4,2019,23,30,2,20,170
Jet Airways,Delhi,Cochin,1 stop,10577,9,6,2019,19,15,4,25,550
IndiGo,Delhi,Cochin,1 stop,6979,15,5,2019,10,35,21,0,625
Vistara,Chennai,Kolkata,non-stop,11982,27,6,2019,17,45,20,5,140
SpiceJet,Delhi,Cochin,1 stop,5264,6,6,2019,8,45,13,15,270
Vistara,Delhi,Cochin,non-stop,8001,3,3,2019,6,0,9,10,190
Air India,Delhi,Cochin,2 stops,10651,1,6,2019,19,45,19,15,1410
Jet Airways,Kolkata,Banglore,1 stop,10844,24,5,2019,16,30,19,50,1640
Multiple carriers,Delhi,Cochin,1 stop,6601,27,3,2019,9,45,22,20,755
Air India,Delhi,Cochin,1 stop,6587,21,3,2019,19,0,19,15,1455
SpiceJet,Mumbai,Hyderabad,non-stop,3173,21,3,2019,13,10,14,30,80
Air India,Banglore,Delhi,non-stop,5228,9,5,2019,10,0,12,45,165
Jet Airways,Banglore,Delhi,non-stop,5769,21,6,2019,7,10,10,10,180
Jet Airways,Delhi,Cochin,1 stop,14714,6,6,2019,8,0,19,0,660
Jet Airways,Delhi,Cochin,2 stops,13014,3,6,2019,5,30,19,0,810
IndiGo,Banglore,Delhi,non-stop,3359,3,6,2019,22,10,1,0,170
GoAir,Banglore,Delhi,non-stop,6722,3,3,2019,20,55,23,50,175
IndiGo,Kolkata,Banglore,non-stop,4462,18,3,2019,9,35,12,20,165
IndiGo,Delhi,Cochin,1 stop,6171,9,3,2019,4,55,16,10,675
Air India,Kolkata,Banglore,2 stops,12303,21,5,2019,5,50,20,25,875
Multiple carriers,Delhi,Cochin,1 stop,7695,21,3,2019,11,40,1,35,835
IndiGo,Delhi,Cochin,1 stop,5684,24,6,2019,11,25,1,30,845
Air India,Kolkata,Banglore,1 stop,8366,12,6,2019,16,50,7,55,905
Air India,Chennai,Kolkata,non-stop,19630,1,3,2019,11,40,13,55,135
Jet Airways,Banglore,Delhi,1 stop,13502,6,3,2019,14,5,5,5,900
Jet Airways,Kolkata,Banglore,1 stop,14781,1,5,2019,21,10,10,5,775
Multiple carriers,Delhi,Cochin,1 stop,6513,12,6,2019,7,10,16,10,540
Air India,Delhi,Cochin,1 stop,9929,1,6,2019,7,0,19,15,735
Multiple carriers,Delhi,Cochin,2 stops,18275,6,6,2019,17,50,1,30,460
Air India,Delhi,Cochin,1 stop,4487,9,4,2019,6,5,9,25,1640
IndiGo,Mumbai,Hyderabad,non-stop,2754,15,3,2019,21,20,22,45,85
Air India,Mumbai,Hyderabad,non-stop,2575,27,3,2019,6,20,7,40,80
Air India,Delhi,Cochin,1 stop,8991,9,3,2019,20,30,8,15,705
IndiGo,Delhi,Cochin,non-stop,5000,24,6,2019,5,35,8,50,195
Jet Airways,Kolkata,Banglore,1 stop,8529,12,6,2019,18,55,19,50,1495
Air India,Delhi,Cochin,1 stop,14042,3,3,2019,6,5,9,25,1640
Jet Airways,Banglore,Delhi,non-stop,4030,24,5,2019,11,10,14,5,175
Jet Airways,Kolkata,Banglore,1 stop,10844,6,6,2019,18,55,12,0,1025
IndiGo,Kolkata,Banglore,non-stop,4804,6,5,2019,21,25,0,5,160
Multiple carriers,Delhi,Cochin,1 stop,7308,27,5,2019,17,30,1,30,480
IndiGo,Banglore,Delhi,non-stop,4823,12,5,2019,16,55,19,55,180
Jet Airways,Delhi,Cochin,1 stop,10262,24,6,2019,9,0,12,35,1655
Jet Airways,Delhi,Cochin,1 stop,12898,27,5,2019,20,55,4,25,450
Air India,Banglore,Delhi,2 stops,12778,12,3,2019,17,25,16,20,1375
Air India,Delhi,Cochin,2 stops,8708,21,3,2019,13,20,19,15,1795
Jet Airways,Kolkata,Banglore,1 stop,10844,6,6,2019,20,0,18,15,1335
SpiceJet,Mumbai,Hyderabad,non-stop,4129,6,3,2019,5,45,7,5,80
IndiGo,Kolkata,Banglore,non-stop,4804,18,5,2019,21,25,0,5,160
Jet Airways,Banglore,Delhi,non-stop,7229,6,5,2019,8,20,11,20,180
Jet Airways,Banglore,Delhi,1 stop,7832,21,3,2019,7,0,19,10,730
SpiceJet,Chennai,Kolkata,non-stop,3859,18,3,2019,9,30,12,5,155
Multiple carriers,Delhi,Cochin,1 stop,9001,6,6,2019,7,30,19,15,705
Vistara,Banglore,Delhi,non-stop,4878,9,5,2019,17,0,19,35,155
IndiGo,Mumbai,Hyderabad,non-stop,2754,3,5,2019,2,35,4,5,90
Vistara,Banglore,Delhi,non-stop,4668,27,6,2019,7,0,9,40,160
Air Asia,Kolkata,Banglore,non-stop,5216,12,5,2019,10,20,12,55,155
Jet Airways,Delhi,Cochin,2 stops,10368,6,6,2019,5,30,4,25,1375
IndiGo,Delhi,Cochin,2 stops,8146,9,3,2019,6,40,21,20,880
Jet Airways,Delhi,Cochin,1 stop,12242,27,3,2019,13,0,4,25,925
Jet Airways,Banglore,Delhi,1 stop,9134,15,3,2019,8,0,15,15,435
Air India,Delhi,Cochin,2 stops,10939,6,6,2019,13,15,9,25,1210
Air India,Delhi,Cochin,2 stops,11753,6,6,2019,10,55,7,40,1245
SpiceJet,Kolkata,Banglore,non-stop,4174,24,4,2019,17,10,19,40,150
Jet Airways,Kolkata,Banglore,1 stop,10844,21,5,2019,20,0,19,50,1430
Jet Airways,Delhi,Cochin,1 stop,14714,3,6,2019,16,0,19,0,1620
Jet Airways,Kolkata,Banglore,1 stop,9899,12,6,2019,6,30,12,0,330
IndiGo,Chennai,Kolkata,non-stop,7295,6,3,2019,13,20,15,35,135
Air India,Delhi,Cochin,2 stops,13465,6,6,2019,18,45,19,15,1470
SpiceJet,Chennai,Kolkata,non-stop,3543,21,5,2019,17,45,20,5,140
Multiple carriers,Delhi,Cochin,1 stop,7198,27,6,2019,19,0,1,30,390
Jet Airways,Delhi,Cochin,1 stop,10262,1,6,2019,8,0,4,25,1225
IndiGo,Kolkata,Banglore,non-stop,4148,15,3,2019,15,20,17,55,155
Jet Airways,Banglore,Delhi,non-stop,8016,27,6,2019,15,15,18,10,175
Jet Airways,Delhi,Cochin,1 stop,10262,9,6,2019,22,50,4,25,335
SpiceJet,Kolkata,Banglore,non-stop,3841,15,6,2019,14,55,17,25,150
Jet Airways,Banglore,Delhi,1 stop,11507,12,3,2019,9,45,0,30,885
Jet Airways,Kolkata,Banglore,1 stop,14781,1,5,2019,8,25,20,45,740
Jet Airways,Delhi,Cochin,1 stop,16079,27,5,2019,17,30,19,0,1530
Jet Airways,Delhi,Cochin,1 stop,12898,27,5,2019,22,50,4,25,335
Multiple carriers,Delhi,Cochin,1 stop,15353,6,3,2019,7,30,19,15,705
IndiGo,Banglore,Delhi,non-stop,7303,24,3,2019,18,25,21,20,175
SpiceJet,Kolkata,Banglore,1 stop,6197,24,3,2019,15,5,20,45,340
Air India,Kolkata,Banglore,1 stop,8996,9,6,2019,9,10,13,15,245
IndiGo,Delhi,Cochin,1 stop,6528,21,3,2019,14,20,22,20,480
GoAir,Banglore,Delhi,non-stop,4239,9,4,2019,20,55,23,40,165
IndiGo,Kolkata,Banglore,non-stop,4148,12,3,2019,20,25,23,5,160
SpiceJet,Banglore,Delhi,non-stop,3971,24,5,2019,21,10,0,5,175
Air Asia,Kolkata,Banglore,1 stop,5192,6,5,2019,7,35,23,30,955
Jet Airways,Delhi,Cochin,2 stops,9483,9,4,2019,13,25,12,35,1390
